Month	Domain	Visits
10/2025	eva.vn	5992000
10/2025	giadinh.suckhoedoisong.vn	3710000
10/2025	kenh14.vn	32270000
10/2025	ngoisao.net	8164000
10/2025	ngoisao.vn	2088000
10/2025	phunutoday.vn	2209000
10/2025	saostar.vn	7056000
10/2025	thanhnien.vn	25520000
10/2025	tuoitre.vn	52120000
10/2025	vietnamnet.vn	33060000
10/2025	vnexpress.net	132000000
10/2025	znews.vn	33160000
9/2025	24h.com.vn	53210000
9/2025	2sao.vn	1056000
9/2025	afamily.vn	3422000
9/2025	dantri.com.vn	46140000
9/2025	eva.vn	6518000
9/2025	giadinh.suckhoedoisong.vn	4681000
9/2025	kenh14.vn	32070000
9/2025	ngoisao.net	8732000
9/2025	ngoisao.vn	2641000
9/2025	phunutoday.vn	2010000
9/2025	saostar.vn	5319000
9/2025	thanhnien.vn	24950000
9/2025	tuoitre.vn	54020000
9/2025	vietnamnet.vn	33390000
9/2025	vnexpress.net	132000000
9/2025	znews.vn	37430000
8/2025	24h.com.vn	51400000
8/2025	2sao.vn	1524000
8/2025	afamily.vn	3502000
8/2025	dantri.com.vn	49100000
8/2025	eva.vn	7307000
8/2025	giadinh.suckhoedoisong.vn	3891000
8/2025	kenh14.vn	33360000
8/2025	ngoisao.net	9385000
8/2025	ngoisao.vn	3889000
8/2025	phunutoday.vn	2757000
8/2025	saostar.vn	6442000
8/2025	thanhnien.vn	27110000
8/2025	tuoitre.vn	51000000
8/2025	vietnamnet.vn	36500000
8/2025	vnexpress.net	144000000
8/2025	znews.vn	39610000
7/2025	24h.com.vn	53630000
7/2025	2sao.vn	1688000
7/2025	afamily.vn	3210000
7/2025	dantri.com.vn	54430000
7/2025	eva.vn	8522000
7/2025	giadinh.suckhoedoisong.vn	4226000
7/2025	kenh14.vn	33240000
7/2025	ngoisao.net	8149000
7/2025	ngoisao.vn	5813000
7/2025	phunutoday.vn	2808000
7/2025	saostar.vn	7393000
7/2025	thanhnien.vn	30930000
7/2025	tuoitre.vn	60520000
7/2025	vietnamnet.vn	39520000
7/2025	vnexpress.net	147900000
7/2025	znews.vn	43690000
6/2025	24h.com.vn	56440000
6/2025	2sao.vn	1512000
6/2025	afamily.vn	4214000
6/2025	dantri.com.vn	59680000
6/2025	eva.vn	9231000
6/2025	giadinh.suckhoedoisong.vn	5192000
6/2025	kenh14.vn	31220000
6/2025	ngoisao.net	9261000
6/2025	ngoisao.vn	5924000
6/2025	phunutoday.vn	4485000
6/2025	saostar.vn	4122000
6/2025	thanhnien.vn	29700000
6/2025	tuoitre.vn	54750000
6/2025	vietnamnet.vn	41330000
6/2025	vnexpress.net	138400000
6/2025	znews.vn	44140000
5/2025	24h.com.vn	61150000
5/2025	2sao.vn	1780000
5/2025	afamily.vn	5718000
5/2025	dantri.com.vn	57180000
5/2025	eva.vn	9788000
5/2025	giadinh.suckhoedoisong.vn	7051000
5/2025	kenh14.vn	31180000
5/2025	ngoisao.net	8985000
5/2025	ngoisao.vn	5266000
5/2025	phunutoday.vn	5009000
5/2025	saostar.vn	5567000
5/2025	thanhnien.vn	29510000
5/2025	tuoitre.vn	52570000
5/2025	vietnamnet.vn	36030000
5/2025	vnexpress.net	135800000
5/2025	znews.vn	46440000
4/2025	24h.com.vn	65340000
4/2025	2sao.vn	1742000
4/2025	afamily.vn	5705000
4/2025	dantri.com.vn	58320000
4/2025	eva.vn	11820000
4/2025	giadinh.suckhoedoisong.vn	5953000
4/2025	kenh14.vn	30870000
4/2025	ngoisao.net	9921000
4/2025	ngoisao.vn	5645000
4/2025	phunutoday.vn	5468000
4/2025	saostar.vn	6514000
4/2025	thanhnien.vn	31480000
4/2025	tuoitre.vn	56260000
4/2025	vietnamnet.vn	37440000
4/2025	vnexpress.net	138700000
4/2025	znews.vn	48200000
3/2025	24h.com.vn	62650000
3/2025	2sao.vn	1864000
3/2025	afamily.vn	7399000
3/2025	dantri.com.vn	60520000
3/2025	eva.vn	12900000
3/2025	giadinh.suckhoedoisong.vn	4473000
3/2025	kenh14.vn	33530000
3/2025	ngoisao.net	13020000
3/2025	ngoisao.vn	5511000
3/2025	phunutoday.vn	3345000
3/2025	saostar.vn	8370000
3/2025	thanhnien.vn	30590000
3/2025	tuoitre.vn	52100000
3/2025	vietnamnet.vn	38050000
3/2025	vnexpress.net	139500000
3/2025	znews.vn	56810000
2/2025	24h.com.vn	57480000
2/2025	2sao.vn	1377000
2/2025	afamily.vn	5425000
2/2025	dantri.com.vn	56790000
2/2025	eva.vn	9056000
2/2025	giadinh.suckhoedoisong.vn	3705000
2/2025	kenh14.vn	30170000
2/2025	ngoisao.net	13210000
2/2025	ngoisao.vn	5939000
2/2025	phunutoday.vn	4656000
2/2025	saostar.vn	5821000
2/2025	thanhnien.vn	28640000
2/2025	tuoitre.vn	45010000
2/2025	vietnamnet.vn	36350000
2/2025	vnexpress.net	130800000
2/2025	znews.vn	49560000
1/2025	24h.com.vn	70400000
1/2025	2sao.vn	2898000
1/2025	afamily.vn	6462000
1/2025	dantri.com.vn	64480000
1/2025	eva.vn	8799000
1/2025	giadinh.suckhoedoisong.vn	3456000
1/2025	kenh14.vn	33790000
1/2025	ngoisao.net	11350000
1/2025	ngoisao.vn	3945000
1/2025	phunutoday.vn	5153000
1/2025	saostar.vn	8088000
1/2025	thanhnien.vn	34280000
1/2025	tuoitre.vn	52950000
1/2025	vietnamnet.vn	40300000
1/2025	vnexpress.net	144100000
1/2025	znews.vn	39750000
12/2024	24h.com.vn	70030000
12/2024	2sao.vn	3148000
12/2024	afamily.vn	5840000
12/2024	dantri.com.vn	67240000
12/2024	eva.vn	9324000
12/2024	giadinh.suckhoedoisong.vn	5355000
12/2024	kenh14.vn	33890000
12/2024	ngoisao.net	11890000
12/2024	ngoisao.vn	2527000
12/2024	phunutoday.vn	5004000
12/2024	saostar.vn	10130000
12/2024	thanhnien.vn	35240000
12/2024	tuoitre.vn	54590000
12/2024	vietnamnet.vn	42570000
12/2024	vnexpress.net	151300000
12/2024	znews.vn	23330000
11/2024	24h.com.vn	66060000
11/2024	2sao.vn	2868000
11/2024	afamily.vn	5617000
11/2024	dantri.com.vn	65210000
11/2024	eva.vn	9740000
11/2024	giadinh.suckhoedoisong.vn	6960000
11/2024	kenh14.vn	33820000
11/2024	ngoisao.net	15340000
11/2024	ngoisao.vn	2337000
11/2024	phunutoday.vn	5891000
11/2024	saostar.vn	10660000
11/2024	thanhnien.vn	31600000
11/2024	tuoitre.vn	49800000
11/2024	vietnamnet.vn	41260000
11/2024	vnexpress.net	142000000
11/2024	znews.vn	23210000
10/2024	24h.com.vn	66140000
10/2024	2sao.vn	2998000
10/2024	afamily.vn	6246000
10/2024	dantri.com.vn	66530000
10/2024	eva.vn	8443000
10/2024	giadinh.suckhoedoisong.vn	5294000
10/2024	kenh14.vn	35700000
10/2024	ngoisao.net	13200000
10/2024	ngoisao.vn	2473000
10/2024	phunutoday.vn	5174000
10/2024	saostar.vn	10890000
10/2024	thanhnien.vn	33730000
10/2024	tuoitre.vn	48780000
10/2024	vietnamnet.vn	42420000
10/2024	vnexpress.net	145500000
10/2024	znews.vn	28040000
9/2024	24h.com.vn	67830000
9/2024	2sao.vn	3211000
9/2024	afamily.vn	8069000
9/2024	dantri.com.vn	69810000
9/2024	eva.vn	8742000
9/2024	giadinh.suckhoedoisong.vn	5589000
9/2024	kenh14.vn	37200000
9/2024	ngoisao.net	15090000
9/2024	ngoisao.vn	2522000
9/2024	phunutoday.vn	4927000
9/2024	saostar.vn	10980000
9/2024	thanhnien.vn	38100000
9/2024	tuoitre.vn	52190000
9/2024	vietnamnet.vn	46580000
9/2024	vnexpress.net	149400000
9/2024	znews.vn	29360000
8/2024	24h.com.vn	66390000
8/2024	2sao.vn	3191000
8/2024	afamily.vn	8323000
8/2024	dantri.com.vn	69580000
8/2024	eva.vn	9206000
8/2024	giadinh.suckhoedoisong.vn	4848000
8/2024	kenh14.vn	40200000
8/2024	ngoisao.net	18350000
8/2024	ngoisao.vn	2405000
8/2024	phunutoday.vn	4815000
8/2024	saostar.vn	11440000
8/2024	thanhnien.vn	37890000
8/2024	tuoitre.vn	53030000
8/2024	vietnamnet.vn	49500000
8/2024	vnexpress.net	158600000
8/2024	znews.vn	28210000
7/2024	24h.com.vn	70820000
7/2024	2sao.vn	3258000
7/2024	afamily.vn	7596000
7/2024	dantri.com.vn	71440000
7/2024	eva.vn	9693000
7/2024	giadinh.suckhoedoisong.vn	6029000
7/2024	kenh14.vn	42760000
7/2024	ngoisao.net	17480000
7/2024	ngoisao.vn	3059000
7/2024	phunutoday.vn	4780000
7/2024	saostar.vn	11620000
7/2024	thanhnien.vn	39670000
7/2024	tuoitre.vn	58350000
7/2024	vietnamnet.vn	54020000
7/2024	vnexpress.net	163000000
7/2024	znews.vn	24950000
6/2024	24h.com.vn	95640000
6/2024	2sao.vn	3943000
6/2024	afamily.vn	4638000
6/2024	dantri.com.vn	60450000
6/2024	eva.vn	11090000
6/2024	giadinh.suckhoedoisong.vn	6111000
6/2024	kenh14.vn	35490000
6/2024	ngoisao.net	15660000
6/2024	ngoisao.vn	2803000
6/2024	phunutoday.vn	2644000
6/2024	saostar.vn	7926000
6/2024	thanhnien.vn	55660000
6/2024	tuoitre.vn	70110000
6/2024	vietnamnet.vn	58870000
6/2024	vnexpress.net	164300000
6/2024	znews.vn	63660000
5/2024	24h.com.vn	94280000
5/2024	2sao.vn	4274000
5/2024	afamily.vn	4876000
5/2024	dantri.com.vn	71650000
5/2024	eva.vn	14390000
5/2024	giadinh.suckhoedoisong.vn	6588000
5/2024	kenh14.vn	36380000
5/2024	ngoisao.net	16630000
5/2024	ngoisao.vn	4019000
5/2024	phunutoday.vn	4703000
5/2024	saostar.vn	8705000
5/2024	thanhnien.vn	57260000
5/2024	tuoitre.vn	72260000
5/2024	vietnamnet.vn	54120000
5/2024	vnexpress.net	177300000
5/2024	znews.vn	73700000
4/2024	24h.com.vn	89270000
4/2024	2sao.vn	4572000
4/2024	afamily.vn	4640000
4/2024	dantri.com.vn	71210000
4/2024	eva.vn	13480000
4/2024	giadinh.suckhoedoisong.vn	5759000
4/2024	kenh14.vn	33900000
4/2024	ngoisao.net	15150000
4/2024	ngoisao.vn	4032000
4/2024	phunutoday.vn	6346000
4/2024	saostar.vn	9735000
4/2024	thanhnien.vn	52700000
4/2024	tuoitre.vn	70000000
4/2024	vietnamnet.vn	51790000
4/2024	vnexpress.net	153300000
4/2024	znews.vn	63198000
3/2024	24h.com.vn	82400000
3/2024	2sao.vn	4936000
3/2024	afamily.vn	4510000
3/2024	dantri.com.vn	77700000
3/2024	eva.vn	10500000
3/2024	giadinh.suckhoedoisong.vn	5827000
3/2024	kenh14.vn	34100000
3/2024	ngoisao.net	16900000
3/2024	ngoisao.vn	5212000
3/2024	phunutoday.vn	9763000
3/2024	saostar.vn	6828000
3/2024	thanhnien.vn	50900000
3/2024	tuoitre.vn	68200000
3/2024	vietnamnet.vn	56000000
3/2024	vnexpress.net	163800000
3/2024	znews.vn	85900000
2/2024	24h.com.vn	75370000
2/2024	2sao.vn	3622000
2/2024	afamily.vn	4069000
2/2024	dantri.com.vn	66530000
2/2024	eva.vn	9510000
2/2024	giadinh.suckhoedoisong.vn	5525000
2/2024	kenh14.vn	30250000
2/2024	ngoisao.net	12660000
2/2024	ngoisao.vn	3784000
2/2024	phunutoday.vn	9253000
2/2024	saostar.vn	4705000
2/2024	thanhnien.vn	43390000
2/2024	tuoitre.vn	53370000
2/2024	vietnamnet.vn	49180000
2/2024	vnexpress.net	140600000
2/2024	znews.vn	60920000
1/2024	24h.com.vn	82130000
1/2024	2sao.vn	3941000
1/2024	afamily.vn	4339000
1/2024	dantri.com.vn	73090000
1/2024	eva.vn	8707000
1/2024	giadinh.suckhoedoisong.vn	5244000
1/2024	kenh14.vn	34380000
1/2024	ngoisao.net	14870000
1/2024	ngoisao.vn	3535000
1/2024	phunutoday.vn	6552000
1/2024	saostar.vn	5955000
1/2024	thanhnien.vn	45830000
1/2024	tuoitre.vn	60610000
1/2024	vietnamnet.vn	48550000
1/2024	vnexpress.net	157200000
1/2024	znews.vn	61290000
12/2023	24h.com.vn	73300000
12/2023	2sao.vn	3747000
12/2023	afamily.vn	4700000
12/2023	dantri.com.vn	71700000
12/2023	eva.vn	6600000
12/2023	giadinh.suckhoedoisong.vn	4426000
12/2023	kenh14.vn	34800000
12/2023	ngoisao.net	14500000
12/2023	ngoisao.vn	4059000
12/2023	phunutoday.vn	5288000
12/2023	saostar.vn	5801000
12/2023	thanhnien.vn	44100000
12/2023	tuoitre.vn	58600000
12/2023	vietnamnet.vn	42850000
12/2023	vnexpress.net	154500000
12/2023	znews.vn	35000000
11/2023	24h.com.vn	80500000
11/2023	2sao.vn	4805000
11/2023	afamily.vn	4493000
11/2023	dantri.com.vn	73800000
11/2023	eva.vn	7786000
11/2023	giadinh.suckhoedoisong.vn	4202000
11/2023	kenh14.vn	37750000
11/2023	ngoisao.net	14750000
11/2023	ngoisao.vn	4274000
11/2023	phunutoday.vn	5615000
11/2023	saostar.vn	6339000
11/2023	thanhnien.vn	49310000
11/2023	tuoitre.vn	61440000
11/2023	vietnamnet.vn	42530000
11/2023	vnexpress.net	164000000
11/2023	znews.vn	3993000
10/2023	24h.com.vn	86700000
10/2023	2sao.vn	4613000
10/2023	afamily.vn	5015000
10/2023	dantri.com.vn	80700000
10/2023	eva.vn	8400000
10/2023	giadinh.suckhoedoisong.vn	5320000
10/2023	kenh14.vn	41200000
10/2023	ngoisao.net	20500000
10/2023	ngoisao.vn	4502000
10/2023	phunutoday.vn	7216000
10/2023	saostar.vn	5271000
10/2023	thanhnien.vn	52900000
10/2023	tuoitre.vn	67100000
10/2023	vietnamnet.vn	51200000
10/2023	vnexpress.net	186300000
10/2023	znews.vn	5500000
9/2023	24h.com.vn	88620000
9/2023	2sao.vn	4901000
9/2023	afamily.vn	4535000
9/2023	dantri.com.vn	73080000
9/2023	eva.vn	11190000
9/2023	giadinh.suckhoedoisong.vn	4301000
9/2023	kenh14.vn	39240000
9/2023	ngoisao.net	17310000
9/2023	ngoisao.vn	4843000
9/2023	phunutoday.vn	7333000
9/2023	saostar.vn	5086000
9/2023	thanhnien.vn	48820000
9/2023	tuoitre.vn	61580000
9/2023	vietnamnet.vn	46500000
9/2023	vnexpress.net	175400000
9/2023	znews.vn	5263000
8/2023	24h.com.vn	92900000
8/2023	2sao.vn	7100000
8/2023	afamily.vn	4445000
8/2023	dantri.com.vn	73470000
8/2023	eva.vn	10580000
8/2023	giadinh.suckhoedoisong.vn	5798000
8/2023	kenh14.vn	45620000
8/2023	ngoisao.net	19280000
8/2023	ngoisao.vn	4857000
8/2023	phunutoday.vn	9775000
8/2023	saostar.vn	6363000
8/2023	thanhnien.vn	53710000
8/2023	tuoitre.vn	62890000
8/2023	vietnamnet.vn	57260000
8/2023	vnexpress.net	185600000
8/2023	znews.vn	6902000
7/2023	24h.com.vn	95220000
7/2023	2sao.vn	7986000
7/2023	afamily.vn	4778000
7/2023	dantri.com.vn	81900000
7/2023	eva.vn	10840000
7/2023	giadinh.suckhoedoisong.vn	5911000
7/2023	kenh14.vn	48010000
7/2023	ngoisao.net	20250000
7/2023	ngoisao.vn	5566000
7/2023	phunutoday.vn	11540000
7/2023	saostar.vn	6989000
7/2023	thanhnien.vn	64510000
7/2023	tuoitre.vn	74890000
7/2023	vietnamnet.vn	67100000
7/2023	vnexpress.net	190200000
7/2023	znews.vn	46820000
6/2023	24h.com.vn	88920000
6/2023	2sao.vn	
6/2023	afamily.vn	
6/2023	dantri.com.vn	
6/2023	eva.vn	10620000
6/2023	giadinh.suckhoedoisong.vn	
6/2023	kenh14.vn	41120000
6/2023	ngoisao.net	20890000
6/2023	ngoisao.vn	
6/2023	phunutoday.vn	
6/2023	saostar.vn	
6/2023	thanhnien.vn	62110000
6/2023	tuoitre.vn	67820000
6/2023	vietnamnet.vn	65560000
6/2023	vnexpress.net	175400000
6/2023	znews.vn	96790000
5/2023	24h.com.vn	96820000
5/2023	2sao.vn	
5/2023	afamily.vn	
5/2023	dantri.com.vn	
5/2023	eva.vn	11580000
5/2023	giadinh.suckhoedoisong.vn	
5/2023	kenh14.vn	43460000
5/2023	ngoisao.net	19380000
5/2023	ngoisao.vn	
5/2023	phunutoday.vn	
5/2023	saostar.vn	
5/2023	thanhnien.vn	57140000
5/2023	tuoitre.vn	61530000
5/2023	vietnamnet.vn	64560000
5/2023	vnexpress.net	176800000
5/2023	znews.vn	100600000
4/2023	24h.com.vn	88900000
4/2023	2sao.vn	
4/2023	afamily.vn	
4/2023	dantri.com.vn	
4/2023	eva.vn	12220000
4/2023	giadinh.suckhoedoisong.vn	
4/2023	kenh14.vn	41920000
4/2023	ngoisao.net	16540000
4/2023	ngoisao.vn	
4/2023	phunutoday.vn	
4/2023	saostar.vn	
4/2023	thanhnien.vn	44730000
4/2023	tuoitre.vn	57430000
4/2023	vietnamnet.vn	50250000
4/2023	vnexpress.net	159600000
4/2023	znews.vn	91150000
3/2023	24h.com.vn	95410000
3/2023	2sao.vn	
3/2023	afamily.vn	
3/2023	dantri.com.vn	
3/2023	eva.vn	13830000
3/2023	giadinh.suckhoedoisong.vn	
3/2023	kenh14.vn	45550000
3/2023	ngoisao.net	16340000
3/2023	ngoisao.vn	
3/2023	phunutoday.vn	
3/2023	saostar.vn	
3/2023	thanhnien.vn	45700000
3/2023	tuoitre.vn	53630000
3/2023	vietnamnet.vn	53870000
3/2023	vnexpress.net	171700000
3/2023	znews.vn	95010000
2/2023	24h.com.vn	92990000
2/2023	2sao.vn	
2/2023	afamily.vn	
2/2023	dantri.com.vn	
2/2023	eva.vn	11630000
2/2023	giadinh.suckhoedoisong.vn	
2/2023	kenh14.vn	42480000
2/2023	ngoisao.net	14460000
2/2023	ngoisao.vn	
2/2023	phunutoday.vn	
2/2023	saostar.vn	
2/2023	thanhnien.vn	41890000
2/2023	tuoitre.vn	43750000
2/2023	vietnamnet.vn	52700000
2/2023	vnexpress.net	164500000
2/2023	znews.vn	82450000
1/2023	24h.com.vn	108300000
1/2023	2sao.vn	
1/2023	afamily.vn	
1/2023	dantri.com.vn	
1/2023	eva.vn	11970000
1/2023	giadinh.suckhoedoisong.vn	
1/2023	kenh14.vn	45910000
1/2023	ngoisao.net	16880000
1/2023	ngoisao.vn	
1/2023	phunutoday.vn	
1/2023	saostar.vn	
1/2023	thanhnien.vn	64010000
1/2023	tuoitre.vn	54360000
1/2023	vietnamnet.vn	50990000
1/2023	vnexpress.net	194400000
1/2023	znews.vn	91320000
12/2022	24h.com.vn	107300000
12/2022	2sao.vn	
12/2022	afamily.vn	
12/2022	dantri.com.vn	
12/2022	eva.vn	14920000
12/2022	giadinh.suckhoedoisong.vn	
12/2022	kenh14.vn	45140000
12/2022	ngoisao.net	16760000
12/2022	ngoisao.vn	
12/2022	phunutoday.vn	
12/2022	saostar.vn	
12/2022	thanhnien.vn	56640000
12/2022	tuoitre.vn	50880000
12/2022	vietnamnet.vn	50400000
12/2022	vnexpress.net	184100000
12/2022	znews.vn	91510000
11/2022	24h.com.vn	119300000
11/2022	2sao.vn	
11/2022	afamily.vn	
11/2022	dantri.com.vn	
11/2022	eva.vn	16600000
11/2022	giadinh.suckhoedoisong.vn	
11/2022	kenh14.vn	43700000
11/2022	ngoisao.net	14320000
11/2022	ngoisao.vn	
11/2022	phunutoday.vn	
11/2022	saostar.vn	
11/2022	thanhnien.vn	59130000
11/2022	tuoitre.vn	52890000
11/2022	vietnamnet.vn	56810000
11/2022	vnexpress.net	177100000
11/2022	znews.vn	88880000
10/2022	24h.com.vn	117900000
10/2022	2sao.vn	
10/2022	afamily.vn	
10/2022	dantri.com.vn	
10/2022	eva.vn	16690000
10/2022	giadinh.suckhoedoisong.vn	
10/2022	kenh14.vn	47120000
10/2022	ngoisao.net	15980000
10/2022	ngoisao.vn	
10/2022	phunutoday.vn	
10/2022	saostar.vn	
10/2022	thanhnien.vn	63160000
10/2022	tuoitre.vn	57060000
10/2022	vietnamnet.vn	52340000
10/2022	vnexpress.net	181400000
10/2022	znews.vn	91080000
9/2022	24h.com.vn	109600000
9/2022	2sao.vn	
9/2022	afamily.vn	
9/2022	dantri.com.vn	
9/2022	eva.vn	22340000
9/2022	giadinh.suckhoedoisong.vn	
9/2022	kenh14.vn	48840000
9/2022	ngoisao.net	13230000
9/2022	ngoisao.vn	
9/2022	phunutoday.vn	
9/2022	saostar.vn	
9/2022	thanhnien.vn	49900000
9/2022	tuoitre.vn	50100000
9/2022	vietnamnet.vn	49460000
9/2022	vnexpress.net	180800000
9/2022	znews.vn	91010000
8/2022	24h.com.vn	109000000
8/2022	2sao.vn	
8/2022	afamily.vn	
8/2022	dantri.com.vn	
8/2022	eva.vn	19920000
8/2022	giadinh.suckhoedoisong.vn	
8/2022	kenh14.vn	54400000
8/2022	ngoisao.net	13470000
8/2022	ngoisao.vn	
8/2022	phunutoday.vn	
8/2022	saostar.vn	
8/2022	thanhnien.vn	52100000
8/2022	tuoitre.vn	48380000
8/2022	vietnamnet.vn	52550000
8/2022	vnexpress.net	184100000
8/2022	znews.vn	93320000
7/2022	24h.com.vn	103900000
7/2022	2sao.vn	
7/2022	afamily.vn	
7/2022	dantri.com.vn	
7/2022	eva.vn	20640000
7/2022	giadinh.suckhoedoisong.vn	
7/2022	kenh14.vn	59290000
7/2022	ngoisao.net	11790000
7/2022	ngoisao.vn	
7/2022	phunutoday.vn	
7/2022	saostar.vn	
7/2022	thanhnien.vn	57490000
7/2022	tuoitre.vn	55390000
7/2022	vietnamnet.vn	61910000
7/2022	vnexpress.net	188900000
7/2022	znews.vn	93530000
6/2022	24h.com.vn	116000000
6/2022	2sao.vn	
6/2022	afamily.vn	
6/2022	dantri.com.vn	
6/2022	eva.vn	19252000
6/2022	giadinh.suckhoedoisong.vn	
6/2022	kenh14.vn	58680000
6/2022	ngoisao.net	10920000
6/2022	ngoisao.vn	
6/2022	phunutoday.vn	
6/2022	saostar.vn	
6/2022	thanhnien.vn	57110000
